,text,weekday,month,day,hour,has_hashtag,has_url,fav_count,is_reply,retweet_count,followers,following,user,screen_name
37,Machine learning is about to revolutionize the study of ancient games. https://t.co/jhegAeH2Us https://t.co/15gk8YW5hI,Tue,Jun,25,01,0,1,8,0,2,971939,3366,MIT Technology Review,techreview
38,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,30,137,Karen Bovard,KLBCanfield
39,RT @conal: I am seeking collaborators and discussion partners to continue rethinking machine learning from a perspective of typed functiona…,Tue,Jun,25,01,0,0,0,0,47,400,220,kirk shoop,kirkshoop
40,RT @awscloud: AWS DeepLens (2019 Edition) is now available for pre-order in seven new countries: https://t.co/mATePcM6B7 https://t.co/rOQf3…,Tue,Jun,25,01,0,1,0,0,236,44,52,Sandeep Kashyap,crusader92
41,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,118,492,rosemary macero,ramacero
42,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,390,237,Samuel Dijk,SRDijk
43,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,64,290,Pradeep Henry,pradeephenry
44,"RT @APADivision38: With natural language processing and machine learning, researchers are identifying patient emotional and medical needs t…",Tue,Jun,25,01,0,0,0,0,3,593,2043,Marcos Reyes-Estrada,mreyesestrada
45,"RT @anshumangaur: @IIITDelhi announces Certificate in Artificial Intelligence &amp; Machine Learning in association with @tech_mahindra
#AI
@an…",Tue,Jun,25,01,1,0,0,0,3,87191,811,Tech Mahindra,tech_mahindra
46,"RT @Project_Veritas: Facebook -- ""Deboosting""
Pinterest --Censorship
Google -- Machine Learning Fairness

Project Veritas is shining a ligh…",Tue,Jun,25,01,0,0,0,0,1055,69,245,Robbie Williams,robnremtp
47,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,9151,9915,Josey Wales🇺🇸🇮🇱,clint4usa
48,Now onto some of my favorite resources in #mlux and #humancenteredai by folks at @GoogleDesign PAIR and @Microsoft… https://t.co/RoSLHKic8C,Tue,Jun,25,01,1,1,0,1,0,741,992,Michelle R Carney,michellercarney
49,RT @Andrea_ilsergio: 7 Simple Tricks to Handle Complex Machine Learning Issues #BigData #datascience  https://t.co/T9kst4gsIt,Tue,Jun,25,01,1,1,0,0,2,238,207,Sir James Delon,SirJamesDelon
50,RT @HeitnerStephen: oHCM cab be detected by wearing a gizmo on your wrist!! Amazing work and who know where to next. Machine learning detec…,Tue,Jun,25,01,0,0,0,0,2,37,64,Daniele Massera,danmassera
51,"RT @avi_patwardhan: Top Sources For #MachineLearning and Analytics Datasets 
1. @kaggle datasets
2. Amazon datasets
3. UCI Machine Learning…",Tue,Jun,25,01,1,0,0,0,43,22,230,Lucas Chatham,lukeoutthebox
52,RT @CasualGoats: @JamesOKeefeIII @Project_Veritas DO NOT FORGET TO CHECK THE LIKES. 3 OF THEM ARE FROM GOOGLE EMPLOYEES WHO WORK WITH THE S…,Tue,Jun,25,01,0,0,0,0,7,3626,4869,Mike Lawson ⭐⭐⭐,Mike_Lawson_55
53,RT @MSFTMechanics: The components you need to build a complete analytical solution. From SQL queries to machine learning and AI. Take a clo…,Tue,Jun,25,01,0,0,0,0,13,1019,248,Mesut ALADAĞ,mesutaladag
54,"RT @awscloud: In this episode of This is My Architecture, learn how https://t.co/PF1P7o8MIJ uses machine learning algorithms to categorize…",Tue,Jun,25,01,0,1,0,0,4,352,2393,Balu Yadav,sk_balu
55,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,215,169,David L. Hagen,DavidLHagen
56,"RT @SayWhenLA: Sounds like a ""Threat to democracy"" to me. &amp; a threat to free thought. They are taking away the power of the many to influen…",Tue,Jun,25,01,0,0,0,0,182,1720,1156,Trumpeteer,Trumpeteer12
57,"ai, machine learning, ai, machine learning... #siliconmanenos",Tue,Jun,25,01,1,0,0,0,0,454,1105,koome,dotkoome
58,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,4879,5345,Mimi,Mimi_Florida
